Year,ISO Code,Countries,Rank,Quartile,EFW,Size of Gov,Legal System,Sound Money,Freedom to Trade,Regulation,PIB per capita,% PIB per capita,Std % PIB per capita,PIB per capita (log),% PIB Real,Retorno Anual,Risco Anual,TradeVolume,NEmpresas,ValorMercado
2009,BRA,Brazil,93,3,"6,51","7,26","5,78","7,77","6,97","4,78","8.569,90","-0,026","0,130","9,06","-0,001","0,60","0,31","-0,240203193","-0,03389830508","0,546573404"
2011,CHL,Chile,10,1,"8,02","8,04","6,85","9,24","8,16","7,79","14.628,57","0,146","0,117","9,59","0,062","-0,17","0,22",,,
2011,CHN,China,126,4,"6,04","4,90","5,28","7,78","6,22","6,04","5.614,39","0,234","0,076","8,63","0,096","-0,24","0,18",,,
2011,FRA,France,31,1,"7,64","5,45","7,47","9,63","8,26","7,39","43.846,47","0,078","0,092","10,69","0,022","-0,20","0,29",,,
2011,DEU,Germany,15,1,"7,92","6,22","8,06","9,56","8,16","7,61","46.705,90","0,123","0,097","10,75","0,039","-0,16","0,29",,,
2011,HKG,"Hong Kong SAR, China",1,1,"9,06","9,00","7,87","9,52","9,50","9,40","35.142,49","0,080","0,045","10,47","0,048","-0,22","0,25",,,
2011,ISR,Israel,43,2,"7,49","6,62","5,92","9,46","8,18","7,27","34.354,72","0,099","0,091","10,44","0,056","-0,22","0,24",,,
2011,JPN,Japan,23,1,"7,77","6,07","7,51","9,88","7,45","7,93","48.760,08","0,084","0,048","10,79","0,000","-0,19","0,24",,,
2011,KOR,"Korea, Rep.",31,1,"7,64","7,31","6,39","9,54","7,65","7,33","25.096,26","0,087","0,140","10,13","0,037","-0,12","0,27",,,
2011,MEX,Mexico,81,3,"6,89","7,39","5,04","8,17","7,05","6,78","10.341,50","0,100","0,137","9,24","0,037","-0,03","0,19",,,
2011,TWN,Taiwan,40,2,"7,5","7,32","6,35","9,55","7,30","6,98","0,00","0,000","0,000","0,00","0,037","-0,24","0,22",,,
