Date,Open,High,Low,Close,Adj Close,Volume,,Variation %,SD,,Year,Return,Risk,,Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2005-08-01,26.042.000.000,28.072.000.000,25.734.000.000,28.045.000.000,28.045.000.000,0,,"0,0769142155",,,,,,,,,,,,,,,
2005-09-01,28.044.000.000,31.584.000.000,27.799.000.000,31.584.000.000,31.584.000.000,0,,"0,1261900517",,,,,,,,,,,,,,,
2005-10-01,31.582.000.000,32.052.000.000,28.161.000.000,30.194.000.000,30.194.000.000,0,,"-0,04400962513",,,,,,,,,,,,,,,
2005-11-01,30.194.000.000,32.350.000.000,29.948.000.000,31.917.000.000,31.917.000.000,0,,"0,05706431741",,,,,,,,,,,,,,,
2005-12-01,31.921.000.000,33.837.000.000,31.921.000.000,33.456.000.000,33.456.000.000,0,,"0,04821881756",,,,,,,,,,,,,,,
2006-01-01,33.462.000.000,38.804.000.000,32.860.000.000,38.383.000.000,38.383.000.000,0,,"0,1472680536",,,,,,,,,,,,,,,
2006-02-01,38.382.000.000,38.978.000.000,35.891.000.000,38.610.000.000,38.610.000.000,0,,"0,005914076544",,,,,,,,,,,,,,,
2006-03-01,38.610.000.000,39.395.000.000,36.085.000.000,37.952.000.000,37.952.000.000,0,,"-0,01704221704",,,,,,,,,,,,,,,
2006-04-01,37.952.000.000,40.425.000.000,37.816.000.000,40.363.000.000,40.363.000.000,0,,"0,06352761383",,,,,,,,,,,,,,,
2006-05-01,40.365.000.000,42.062.000.000,34.911.000.000,36.530.000.000,36.530.000.000,0,,"-0,09496320888",,,,,,,,,,,,,,,
2006-06-01,36.531.000.000,38.437.000.000,32.057.000.000,36.631.000.000,36.631.000.000,0,,"0,002764850808",,,,,,,,,,,,,,,
2006-07-01,36.629.000.000,37.601.000.000,34.591.000.000,37.077.000.000,37.077.000.000,0,,"0,01217547978",,,,,,,,,,,,,,,
2006-08-01,37.077.000.000,38.172.000.000,35.123.000.000,36.232.000.000,36.232.000.000,144235600,,"-0,02279040915",,,,,,,,,,,,,,,
2006-09-01,36.232.000.000,37.739.000.000,34.127.000.000,36.449.000.000,36.449.000.000,2391376300,,"0,005989180835",,,,,,,,,,,,,,,
2006-10-01,36.450.000.000,39.843.000.000,36.438.000.000,39.263.000.000,39.263.000.000,2392852500,,"0,07720376416",,,,,,,,,,,,,,,
2006-11-01,39.279.000.000,42.308.000.000,39.279.000.000,41.932.000.000,41.932.000.000,2175094500,,"0,06797748516",,,,,,,,,,,,,,,
2006-12-01,41.930.000.000,44.675.000.000,41.192.000.000,44.474.000.000,44.474.000.000,1845604000,,"0,06062195936",,,,,,,,,,,,,,,
2007-01-01,44.476.000.000,45.388.000.000,41.266.000.000,44.642.000.000,44.642.000.000,2010837900,,"0,00377748797",,,,,,,,,,,,,,,
2007-02-01,44.642.000.000,46.752.000.000,42.571.000.000,43.892.000.000,43.892.000.000,2210915100,,"-0,01680032257",,,,,,,,,,,,,,,
2007-03-01,43.886.000.000,45.950.000.000,41.117.000.000,45.805.000.000,45.805.000.000,2898315900,,"0,04358425226",,,,,,,,,,,,,,,
2007-04-01,45.805.000.000,49.856.000.000,45.225.000.000,48.956.000.000,48.956.000.000,2788661600,,"0,06879161664",,,,,,,,,,,,,,,
2007-05-01,48.955.000.000,52.877.000.000,48.953.000.000,52.268.000.000,52.268.000.000,2311245000,,"0,067652586",,,,,,,,,,,,,,,
2007-06-01,52.271.000.000,55.003.000.000,50.885.000.000,54.392.000.000,54.392.000.000,2008111300,,"0,04063671845",,,,,,,,,,,,,,,
2007-07-01,54.396.000.000,58.293.000.000,52.627.000.000,54.183.000.000,54.183.000.000,926311000,,"-0,003842476835",,,,,,,,,,,,,,,
2007-08-01,54.170.000.000,55.616.000.000,44.938.000.000,54.637.000.000,54.637.000.000,1151761800,,"0,008379011867",,,,,,,,,,,,,,,
2007-09-01,54.641.000.000,61.054.000.000,52.321.000.000,60.465.000.000,60.465.000.000,106332200,,"0,1066676428",,,,,,,,,,,,,,,
2007-10-01,60.465.000.000,65.949.000.000,59.473.000.000,65.318.000.000,65.318.000.000,146974800,,"0,08026130819",,,,,,,,,,,,,,,
2007-11-01,65.317.000.000,65.317.000.000,58.096.000.000,63.006.000.000,63.006.000.000,111714400,,"-0,03539606234",,,,,,,,,,,,,,,
2007-12-01,63.018.000.000,66.529.000.000,59.414.000.000,63.886.000.000,63.886.000.000,39270200,,"0,01396692379",,,,,,,,,,,,,,,
2008-01-01,63.885.000.000,63.906.000.000,53.011.000.000,59.490.000.000,59.490.000.000,75006400,,"-0,06881006793",,,,,,,,,,,,,,,
2008-02-01,59.491.000.000,66.005.000.000,58.030.000.000,63.489.000.000,63.489.000.000,62925000,,"0,06722138174",,,,,,,,,,,,,,,
2008-03-01,63.496.000.000,65.045.000.000,57.824.000.000,60.968.000.000,60.968.000.000,48383600,,"-0,03970766589",,,,,,,,,,,,,,,
2008-04-01,60.965.000.000,68.038.000.000,60.965.000.000,67.868.000.000,67.868.000.000,21483400,,"0,1131741241",,,,,,,,,,,,,,,
2008-05-01,67.869.000.000,73.920.000.000,67.865.000.000,72.593.000.000,72.593.000.000,25864000,,"0,06962043968",,,,,,,,,,,,,,,
2008-06-01,72.593.000.000,72.593.000.000,63.689.000.000,65.018.000.000,65.018.000.000,24527600,,"-0,1043489042",,,,,,,,,,,,,,,
2008-07-01,65.018.000.000,65.018.000.000,56.418.000.000,59.505.000.000,59.505.000.000,28042800,,"-0,08479190378",,,,,,,,,,,,,,,
